PITCHER_ID,PITCHER_NAME,TEAM,STRIKEOUTS,WALKS_ALLOWED,HITS_ALLOWED,HOME_RUNS_ALLOWED,EARNED_RUNS,BATTERS_FACED,PITCH_COUNT,INNINGS,K_PER_9,BB_PER_9,HR_PER_9,ERA
665660,Elvis Alvarado,athletics,9,7,11,1,9,44,182,9.666666666666666,8.379310344827587,6.517241379310345,0.9310344827586208,8.379310344827587
671382,Cameron Foster,baltimore orioles,9,8,17,1,9,49,189,9.0,9.0,8.0,1.0,9.0
663465,Kolby Allard,cleveland guardians,9,3,16,2,10,45,177,8.666666666666666,9.346153846153847,3.1153846153846154,2.076923076923077,10.384615384615385
696131,Mason Black,kansas city royals,9,3,9,1,2,38,160,8.666666666666666,9.346153846153847,3.1153846153846154,1.0384615384615385,2.076923076923077
699823,Tyler Davis,chicago white sox,9,3,2,0,2,30,115,8.666666666666666,9.346153846153847,3.1153846153846154,0.0,2.076923076923077
606303,Joel Payamps,atlanta braves,9,4,9,2,8,36,151,7.666666666666667,10.565217391304348,4.695652173913043,2.3478260869565215,9.391304347826086
674444,Steven Cruz,kansas city royals,9,6,10,5,10,38,153,7.666666666666666,10.56521739130435,7.043478260869565,5.869565217391305,11.73913043478261
670183,Garrett Acton,minnesota twins,9,3,4,0,2,28,115,6.666666666666666,12.15,4.050000000000001,0.0,2.7
552640,Andrew Kittredge,baltimore orioles,9,2,10,1,7,30,120,6.0,13.5,3.0,1.5,10.5
681676,Ryan Fernandez,st. louis cardinals,9,2,7,0,1,26,91,5.666666666666666,14.294117647058824,3.1764705882352944,0.0,1.5882352941176472
686580,Justin Slaten,boston red sox,9,2,2,0,0,20,85,5.333333333333333,15.1875,3.375,0.0,0.0
657044,Ryan Thompson,arizona diamondbacks,8,7,10,2,5,61,202,15.0,4.8,4.2,1.2,3.0
681892,Kody Funderburk,minnesota twins,8,11,8,1,3,62,233,14.333333333333332,5.023255813953488,6.906976744186047,0.627906976744186,1.8837209302325584
663362,Matt Waldron,san diego padres,8,5,22,3,15,69,246,13.666666666666666,5.2682926829268295,3.2926829268292686,1.975609756097561,9.878048780487806
672582,Angel Zerpa,milwaukee brewers,8,6,16,2,9,55,216,12.666666666666666,5.684210526315789,4.2631578947368425,1.4210526315789473,6.394736842105264
682995,Hunter Barco,pittsburgh pirates,8,9,14,3,10,60,232,11.666666666666668,6.171428571428571,6.942857142857142,2.314285714285714,7.7142857142857135
642232,Ryan Yarbrough,new york yankees,8,4,8,1,5,46,167,11.0,6.545454545454546,3.272727272727273,0.8181818181818182,4.090909090909091
700712,Walbert Ureña,los angeles angels,8,5,6,0,1,45,160,11.0,6.545454545454546,4.090909090909091,0.0,0.8181818181818182
678368,Valente Bellozo,colorado rockies,8,7,10,5,9,48,170,10.666666666666666,6.75,5.90625,4.21875,7.59375
689818,David Sandlin,chicago white sox,8,4,9,2,9,42,141,10.0,7.2,3.6,1.8,8.1
686610,Ken Waldichuk,washington nationals,8,6,7,4,7,41,149,9.333333333333332,7.714285714285715,5.7857142857142865,3.8571428571428577,6.750000000000001
663992,Richard Lovelady,washington nationals,8,6,12,1,4,46,146,9.0,8.0,6.0,1.0,4.0
690928,Hunter Dobbins,st. louis cardinals,8,5,6,1,4,34,140,8.0,9.0,5.625,1.125,4.5
608650,Dietrich Enns,baltimore orioles,8,9,6,0,6,36,172,7.0,10.285714285714286,11.571428571428571,0.0,7.714285714285714
